FName,LName,Target,Min,Max,Location,Focus,0,1,2,3,4
Jeff,Clavier,$1.2M,$750K,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)  AI , Cloud Infrastructure , Developer Tools , Hardware , Health IT , IoT , Marketplaces , SaaS (Seed) , San Francisco Bay Area  , Investors who invested in female founders  ",https://www.uncorkcapital.com/team/jeff-clavier/,https://www.linkedin.com/in/jeffclavier/,https://www.twitter.com/jeff?lang=en,https://www.angel.co/jeff,https://www.crunchbase.com/person/jeff-clavier
Satya,Patel,$1M,$200K,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Latin America, Canada , United States, San Francisco (CA)  BioTech , BioTech , FinTech , FinTech , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.homebrew.co/team,https://www.linkedin.com/in/satyapatel/,https://www.twitter.com/satyap,https://www.angel.co/satyap,https://www.crunchbase.com/person/satya-patel
Dave,Samuel,$2.5M,$1M,$4.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) Developer Tools , E-commerce , Enterprise , Marketplaces , Media/Content , SaaS (Seed) , San Francisco Bay Area  , Security , Social Commerce , Social Networks ",https://www.freestyle.vc/team_members/dave-samuel/,https://www.linkedin.com/in/thedjdave/,https://www.twitter.com/dsamuel,https://www.angel.co/dsamuel,https://www.crunchbase.com/person/david-samuel
Gigi,Levy-Weiss,$1M,$500K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Tel Aviv (Israel) , Palo Alto (CA) AI , AI , AR/VR , AR/VR , Cybersecurity , Cybersecurity , E-commerce , E-commerce , Enterprise , Enterprise , Games , Games , Gaming/eSports , Gaming/eSports , Israel  , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.nfx.com/team/gigi-levy-weiss,https://www.linkedin.com/in/gigilevy/,https://www.twitter.com/GigiLevy,https://www.angel.co/gigi-levy,https://www.crunchbase.com/person/gigi-levy-weiss
Mike,Maples,$2.6M,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) , Palo Alto (CA)  Developer Tools , Education , Enterprise , Games , Marketplaces , SaaS (Seed) , San Francisco Bay Area  , Social Networks ",https://www.floodgate.com/team/mike-maples-jr,https://www.linkedin.com/in/maples/,https://www.twitter.com/m2jr,https://www.angel.co/m2jr,https://www.crunchbase.com/person/mike-maples-jr
Morgan,Beller,$1M,$500K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , New York, Los Angeles (CA)  Crypto/Web3 , Crypto/Web3 , DeepTech , DeepTech , FinTech , FinTech , Media/Content , Media/Content , Payments , Payments , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Space , Space , Web3/Blockchain , Web3/Blockchain ",https://www.nfx.com/team/morgan-beller-2/,https://www.linkedin.com/in/morganbeller/,https://www.twitter.com/beller?lang=en,https://www.angel.co/u/beller,https://www.crunchbase.com/person/morgan-beller
Pete,Flint,$1M,$500K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , London , Boston (MA) , Chicago (IL)  FinTech , FinTech , Future of Work , Future of Work , Gig Economy , Gig Economy , Insurance , Insurance , Marketplaces , Marketplaces , Payments , Payments , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , SMB Software , SMB Software , TransportationTech , TransportationTech , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.nfx.com/team/pete-flint/,https://www.linkedin.com/in/peteflint/,https://www.twitter.com/PeteFlint,https://www.angel.co/peteflint,https://www.crunchbase.com/person/pete-flint
James,Currier,$2.0M,$500K,$4.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) , Tel Aviv (Israel)  Games , Gaming/eSports , Marketplaces , Messaging , Payments , SaaS (Seed) , San Francisco Bay Area  , SMB Software , Social Networks , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.nfx.com/team/james-currier/,https://www.linkedin.com/in/jamescurrier/,https://www.twitter.com/JamesCurrier,https://www.angel.co/jamescurrier,https://www.crunchbase.com/person/james-currier
Bill,Trenchard,$2.4M,$750K,$4.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) AI , Analytics , ClimateTech/CleanTech , EnergyTech , FinTech , Future of Work , Health IT , Logistics , Real Estate/PropTech , SaaS (Seed) , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.firstround.com/person/bill-trenchard/#mystory,https://www.linkedin.com/in/billtrenchard/,https://www.twitter.com/btrenchard,https://www.angel.co/billtrenchard,https://www.crunchbase.com/person/bill-trenchard
Hunter,Walk,$1M,$750K,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Global, San Francisco (CA) BioTech , BioTech , FinTech , FinTech , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.hunterwalk.com/,https://www.linkedin.com/in/hunterwalk/,https://www.twitter.com/hunterwalk,https://www.angel.co/hunterwalk,https://www.crunchbase.com/person/hunter-walk
